File_ID	URL	URL_Archive	Timestamp_Archived	Timestamp_Published	Publisher	Author	Title
dogsnaturallymagazine-com_20160430T211917	http://www.dogsnaturallymagazine.com/rabies-vaccination-13-ways-to-vaccinate-more-safely/	http://web.archive.org/web/20160430211917/http://www.dogsnaturallymagazine.com/rabies-vaccination-13-ways-to-vaccinate-more-safely/	2016-04-30T21:19:17	2012-01-04T00:00:00	www.dogsnaturallymagazine.com	K9Author	Rabies Vaccines: Safer Ways To Vaccinate Your Dog
drsuzanne-net_20170606T042830	http://drsuzanne.net/dr-suzanne-humphries-vaccines-vaccination/	http://web.archive.org/web/20170606042830/http://drsuzanne.net/dr-suzanne-humphries-vaccines-vaccination/	2017-06-06T04:28:30	2000-01-01T00:00:00	drsuzanne.net	unknown	Vaccination | Suzanne Humphries
emergency-cdc-gov_20170616T203204	http://emergency.cdc.gov/HAN/han00376.asp	http://web.archive.org/web/20170616203204/https://emergency.cdc.gov/han/han00376.asp	2017-06-16T20:32:04	2015-01-23T00:00:00	emergency.cdc.gov	unknown	HAN Archive - 00376|Health Alert Network (HAN)
en-wikipedia-org_20170318T104602	https://en.wikipedia.org/wiki/Inoculation	http://web.archive.org/web/20170318104602/https://en.wikipedia.org/wiki/Inoculation	2017-03-18T10:46:02	2000-01-01T00:00:00	en.wikipedia.org	unknown	unknown
en-wikipedia-org_20170412T054820	https://en.wikipedia.org/wiki/Hepatitis_B_vaccine	http://web.archive.org/web/20170412054820/https://en.wikipedia.org/wiki/Hepatitis_B_vaccine	2017-04-12T05:48:20	2016-12-08T00:00:00	en.wikipedia.org	unknown	Hepatitis B vaccine - Wikipedia
en-wikipedia-org_20170519T045515	https://en.wikipedia.org/wiki/MMR_vaccine	http://web.archive.org/web/20170519045515/https://en.wikipedia.org/wiki/MMR_vaccine	2017-05-19T04:55:15	2008-05-28T00:00:00	en.wikipedia.org	unknown	MMR vaccine - Wikipedia
en-wikipedia-org_20170615T120212	https://en.wikipedia.org/wiki/Vaccination	http://web.archive.org/web/20170615120212/https://en.wikipedia.org/wiki/Vaccination	2017-06-15T12:02:12	2014-03-01T00:00:00	en.wikipedia.org	unknown	Vaccination - Wikipedia
en-wikipedia-org_20170701T015555	https://en.wikipedia.org/wiki/Measles_vaccine	http://web.archive.org/web/20170701015555/https://en.wikipedia.org/wiki/Measles_vaccine	2017-07-01T01:55:55	2015-02-10T00:00:00	en.wikipedia.org	unknown	Measles vaccine - Wikipedia
en-wikipedia-org_20170702T222036	https://en.wikipedia.org/wiki/Rabies_vaccine	http://web.archive.org/web/20170702222036/https://en.wikipedia.org/wiki/Rabies_vaccine	2017-07-02T22:20:36	2016-12-08T00:00:00	en.wikipedia.org	unknown	Rabies vaccine - Wikipedia
en-wikipedia-org_20170706T122510	https://en.wikipedia.org/wiki/Vaccine	http://web.archive.org/web/20170706122510/https://en.wikipedia.org/wiki/Vaccine	2017-07-06T12:25:10	2014-01-09T00:00:00	en.wikipedia.org	unknown	Vaccine - Wikipedia
Epilepsy-Foundation_20161027T230500	http://www.epilepsy.com/connect/forums/parents-caregivers/vaccines-cause-epilepsy	http://web.archive.org/web/20161027230500/http://www.epilepsy.com:80/connect/forums/parents-caregivers/vaccines-cause-epilepsy	2016-10-27T23:05:00	2007-01-31T21:04:47	Epilepsy Foundation	unknown	vaccines cause epilepsy?
euro-who-int_20161216T112353	http://www.euro.who.int/en/health-topics/disease-prevention/vaccines-and-immunization	http://web.archive.org/web/20161216112353/http://www.euro.who.int:80/en/health-topics/disease-prevention/vaccines-and-immunization	2016-12-16T11:23:53	2017-07-07T00:00:00	www.euro.who.int	unknown	Vaccines and immunization
fda-gov_20170629T110653	http://www.fda.gov/BiologicsBloodVaccines/SafetyAvailability/VaccineSafety/ucm133806.htm	http://web.archive.org/web/20170629110653/https://www.fda.gov/BiologicsBloodVaccines/SafetyAvailability/VaccineSafety/ucm133806.htm	2017-06-29T11:06:53	2015-08-20T00:00:00	www.fda.gov	unknown	Vaccine Safety Questions and Answers
fitfortravel-nhs-uk_20160812T165007	http://www.fitfortravel.nhs.uk/destinations/south-america--antarctica/peru.aspx	http://web.archive.org/web/20160812165007/http://www.fitfortravel.nhs.uk/destinations/south-america--antarctica/peru.aspx	2016-08-12T16:50:07	2017-05-16T00:00:00	www.fitfortravel.nhs.uk	Health Protection Scotland	Peru - Fit For Travel
fitfortravel-nhs-uk_20160812T172501	http://www.fitfortravel.nhs.uk/destinations/south-america--antarctica/brazil.aspx	http://web.archive.org/web/20160812172501/http://www.fitfortravel.nhs.uk/destinations/south-america--antarctica/brazil.aspx	2016-08-12T17:25:01	2017-05-30T00:00:00	www.fitfortravel.nhs.uk	Health Protection Scotland	Brazil - Fit For Travel
fitfortravel-nhs-uk_20160812T212733	http://www.fitfortravel.nhs.uk/destinations/middle-east/saudi-arabia.aspx	http://web.archive.org/web/20160812212733/http://www.fitfortravel.nhs.uk/destinations/middle-east/saudi-arabia.aspx	2016-08-12T21:27:33	2017-06-12T00:00:00	www.fitfortravel.nhs.uk	Health Protection Scotland	Saudi Arabia - Fit For Travel
fitfortravel-scot-nhs-uk_20160608T202918	http://www.fitfortravel.scot.nhs.uk/destinations/australasia--pacific/australia.aspx	http://web.archive.org/web/20160608202918/http://www.fitfortravel.scot.nhs.uk/destinations/australasia--pacific/australia.aspx	2016-06-08T20:29:18	2000-01-01T00:00:00	www.fitfortravel.scot.nhs.uk	Health Protection Scotland	Australia - Fit For Travel
fitfortravel-scot-nhs-uk_20160608T230856	http://www.fitfortravel.scot.nhs.uk/destinations/caribbean/cuba.aspx	http://web.archive.org/web/20160608230856/http://www.fitfortravel.scot.nhs.uk/destinations/caribbean/cuba.aspx	2016-06-08T23:08:56	2000-01-01T00:00:00	www.fitfortravel.scot.nhs.uk	Health Protection Scotland	Cuba - Fit For Travel
fitfortravel-scot-nhs-uk_20160608T231638	http://www.fitfortravel.scot.nhs.uk/destinations/asia-(east)/philippines.aspx	http://web.archive.org/web/20160608231638/http://www.fitfortravel.scot.nhs.uk/destinations/asia-(east)/philippines.aspx	2016-06-08T23:16:38	2017-06-09T00:00:00	www.fitfortravel.scot.nhs.uk	Health Protection Scotland	Philippines - Fit For Travel
fitfortravel-scot-nhs-uk_20160609T200836	http://www.fitfortravel.scot.nhs.uk/destinations/asia-(east)/vietnam.aspx	http://web.archive.org/web/20160609200836/http://www.fitfortravel.scot.nhs.uk/destinations/asia-(east)/vietnam.aspx	2016-06-09T20:08:36	2000-01-01T00:00:00	www.fitfortravel.scot.nhs.uk	Health Protection Scotland	Vietnam - Fit For Travel
fitfortravel-scot-nhs-uk_20160609T200958	http://www.fitfortravel.scot.nhs.uk/destinations/africa/uganda.aspx	http://web.archive.org/web/20160609200958/http://www.fitfortravel.scot.nhs.uk/destinations/africa/uganda.aspx	2016-06-09T20:09:58	2000-01-01T00:00:00	www.fitfortravel.scot.nhs.uk	Health Protection Scotland	Uganda - Fit For Travel
fitfortravel-scot-nhs-uk_20160609T202116	http://www.fitfortravel.scot.nhs.uk/destinations/caribbean/jamaica.aspx	http://web.archive.org/web/20160609202116/http://www.fitfortravel.scot.nhs.uk/destinations/caribbean/jamaica.aspx	2016-06-09T20:21:16	2000-01-01T00:00:00	www.fitfortravel.scot.nhs.uk	Health Protection Scotland	Jamaica - Fit For Travel
fodors-com_20161027T194550	http://www.fodors.com/community/asia/vaccinationsshould-we-get-them-for-china.cfm	http://web.archive.org/web/20161027194550/http://www.fodors.com:80/community/asia/vaccinationsshould-we-get-them-for-china.cfm	2016-10-27T19:45:50	2000-01-01T00:00:00	www.fodors.com	LindaCBailey	"""Vaccinations""...should we get them for China? | Asia Forum | Fodor's Travel Talk Forums"
Fox-News_20161029T114432	http://www.foxnews.com/health/2013/10/09/15-things-need-to-know-about-vaccines.html	http://web.archive.org/web/20161029114432/http://www.foxnews.com:80/health/2013/10/09/15-things-need-to-know-about-vaccines.html	2016-10-29T11:44:32	2013-10-09T00:00:00	Fox News	unknown	15 things you need to know about vaccines
GGD-Amsterdam_20160921T061812	http://www.ggd.amsterdam.nl/english/travelling-and/	http://web.archive.org/web/20160921061812/http://www.ggd.amsterdam.nl:80/english/travelling-and/	2016-09-21T06:18:12	2000-01-01T00:00:00	GGD Amsterdam	unknown	unknown
globalresearch-ca_20170312T001802	http://www.globalresearch.ca/measles-outbreak-documented-among-fully-immunized-group-of-children/5431567	http://web.archive.org/web/20170312001802/http://www.globalresearch.ca/measles-outbreak-documented-among-fully-immunized-group-of-children/5431567	2017-03-12T00:18:02	2015-02-16T00:00:00	www.globalresearch.ca	Ethan A. Huff	Measles Outbreak Documented Among Fully Immunized Group of Children | Global Research - Centre for Research on Globalization
greenmedinfo-com_20160402T131018	http://www.greenmedinfo.com/blog/disney-measles-outbreak-mousetrap-ignorance?page=2	http://web.archive.org/web/20160402131018/http://www.greenmedinfo.com/blog/disney-measles-outbreak-mousetrap-ignorance?page=2	2016-04-02T13:10:18	2015-07-03T00:00:00	www.greenmedinfo.com	Sayer Ji	The Disney Measles Outbreak: A Mousetrap of Ignorance
greenmedinfo-com_20161214T033718	http://www.greenmedinfo.com/blog/disney-measles-outbreak-mousetrap-ignorance	http://web.archive.org/web/20161214033718/http://www.greenmedinfo.com:80/blog/disney-measles-outbreak-mousetrap-ignorance	2016-12-14T03:37:18	2015-07-03T00:00:00	www.greenmedinfo.com	Sayer Ji	The Disney Measles Outbreak: A Mousetrap of Ignorance
greenmedinfo-com_20170702T213636	http://www.greenmedinfo.com/blog/vaccines-dont-work-malignant-mumps-mmr-vaccinated-children-12	http://web.archive.org/web/20170702213636/http://www.greenmedinfo.com/blog/vaccines-dont-work-malignant-mumps-mmr-vaccinated-children-12	2017-07-02T21:36:36	2015-07-03T00:00:00	www.greenmedinfo.com	Sayer Ji	Vaccines Don't Work: Malignant Mumps In MMR Vaccinated Children
greenmedinfo-com_20170703T045312	http://www.greenmedinfo.com/blog/vaccinated-spreading-measles-who-merck-cdc-documents-confirms	http://web.archive.org/web/20170703045312/http://www.greenmedinfo.com/blog/vaccinated-spreading-measles-who-merck-cdc-documents-confirms	2017-07-03T04:53:12	2015-07-03T00:00:00	www.greenmedinfo.com	Sayer Ji	The Vaccinated Spreading Measles: WHO
health-gov-on-ca_20170109T215856	http://www.health.gov.on.ca/en/public/publications/immune/mmr.aspx	http://web.archive.org/web/20170109215856/http://www.health.gov.on.ca/en/public/publications/immune/mmr.aspx	2017-01-09T21:58:56	2009-01-31T00:00:00	www.health.gov.on.ca	unknown	Measles
Health-Impact-News_20170428T192431	http://healthimpactnews.com/2015/the-truth-about-measles-the-mainstream-media-is-suppressing/	http://web.archive.org/web/20170428192431/http://healthimpactnews.com/2015/the-truth-about-measles-the-mainstream-media-is-suppressing/	2017-04-28T19:24:31	2015-01-24T00:00:00	Health Impact News	unknown	The Truth About Measles the Mainstream Media is Suppressing
health-ny-gov_20170701T054023	http://www.health.ny.gov/prevention/immunization/	http://web.archive.org/web/20170701054023/https://health.ny.gov/prevention/immunization/	2017-07-01T05:40:23	2000-01-01T00:00:00	www.health.ny.gov	unknown	Vaccines and Immunization
healthtalk-org_20161031T152854	http://www.healthtalk.org/peoples-experiences/pregnancy-children/immunisation/deciding-not-give-my-child-mmr-measles-mumps-and-rubella	http://web.archive.org/web/20161031152854/http://www.healthtalk.org:80/peoples-experiences/pregnancy-children/immunisation/deciding-not-give-my-child-mmr-measles-mumps-and-rubella	2016-10-31T15:28:54	2000-01-01T00:00:00	www.healthtalk.org	unknown	Deciding not to give my child MMR (measles, mumps and rubella) | Topics, Immunisation, Pregnancy & children, People's Experiences | healthtalk.org
healthycanadians-gc-ca_20161203T154835	http://healthycanadians.gc.ca/healthy-living-vie-saine/immunization-immunisation/index-eng.php	http://web.archive.org/web/20161203154835/http://healthycanadians.gc.ca:80/healthy-living-vie-saine/immunization-immunisation/index-eng.php	2016-12-03T15:48:35	2017-04-21T00:00:00	healthycanadians.gc.ca	Public Health Agency of Canada	Immunization and vaccines - Canada.ca
HealthyChildren-org_20151012T214316	https://www.healthychildren.org/English/safety-prevention/immunizations/Pages/Chickenpox-Vaccine-What-You-Need-to-Know.aspx	http://web.archive.org/web/20151012214316/http://www.healthychildren.org/English/safety-prevention/immunizations/pages/Chickenpox-Vaccine-What-You-Need-to-Know.aspx	2015-10-12T21:43:16	2015-11-21T00:00:00	HealthyChildren.org	unknown	Chickenpox Vaccine: What You Need to Know (VIS)
Heavy-com_20161018T051334	http://heavy.com/social/2015/02/measles-vaccine-vaccination-conspiracy-theories/	http://web.archive.org/web/20161018051334/http://heavy.com:80/social/2015/02/measles-vaccine-vaccination-conspiracy-theories/	2016-10-18T05:13:34	2015-02-05T00:00:00	Heavy.com	S.J. Prince	Measles Outbreak in U.S.: Top 5 Conspiracy Theories
Hepatitis-B-Foundation_20160630T014450	http://hepbblog.org/2011/09/29/hbv-vaccine-non-responder-alternatives/	http://web.archive.org/web/20160630014450/http://hepbblog.org:80/2011/09/29/hbv-vaccine-non-responder-alternatives/	2016-06-30T01:44:50	2011-09-29T00:00:00	Hepatitis B Foundation	hepbtalk	Options for HBV Vaccine Non-Responders - Hepatitis B Foundation
hepb-org_20160629T112215	http://www.hepb.org/professionals/vaccine_non-responders.htm	http://web.archive.org/web/20160629112215/http://www.hepb.org:80/professionals/vaccine_non-responders.htm	2016-06-29T11:22:15	2000-01-01T00:00:00	www.hepb.org	unknown	Home » Hepatitis B Foundation
hepb-org_20160713T190256	http://www.hepb.org/hepb/vaccine_information.htm	http://web.archive.org/web/20160713190256/http://www.hepb.org:80/hepb/vaccine_information.htm	2016-07-13T19:02:56	2000-01-01T00:00:00	www.hepb.org	unknown	Home » Hepatitis B Foundation
historyofvaccines-org_20161124T080529	http://www.historyofvaccines.org/blog	http://web.archive.org/web/20161124080529/http://www.historyofvaccines.org:80/blog	2016-11-24T08:05:29	2017-03-06T00:00:00	www.historyofvaccines.org	unknown	Blog | History of Vaccines
huffingtonpost-com_20161221T170356	http://www.huffingtonpost.com/jennifer-raff/dear-parents-you-are-being-lied-to-about-vaccines_b_5112620.html	http://web.archive.org/web/20161221170356/http://www.huffingtonpost.com:80/jennifer-raff/dear-parents-you-are-being-lied-to-about-vaccines_b_5112620.html	2016-12-21T17:03:56	2014-04-08T00:00:00	www.huffingtonpost.com	Jennifer Raff	Dear Parents
Immunisation-Advisory-Centre_20170406T054004	http://www.immune.org.nz/diseases/varicella	http://web.archive.org/web/20170406054004/http://www.immune.org.nz/diseases/varicella	2017-04-06T05:40:04	2000-01-01T00:00:00	Immunisation Advisory Centre	unknown	unknown
immunise-health-gov-au_20170626T104650	http://www.immunise.health.gov.au/internet/immunise/publishing.nsf/Content/Handbook10-home~handbook10part4~handbook10-4-5	http://web.archive.org/web/20170626104650/http://immunise.health.gov.au/internet/immunise/publishing.nsf/Content/Handbook10-home~handbook10part4~handbook10-4-5	2017-06-26T10:46:50	2000-01-01T00:00:00	www.immunise.health.gov.au	unknown	Immunise - 4.5 Hepatitis B
immunize-ca_20160804T232639	http://www.immunize.ca/en/diseases-vaccines/mumps.aspx	http://web.archive.org/web/20160804232639/http://www.immunize.ca:80/en/diseases-vaccines/mumps.aspx	2016-08-04T23:26:39	2017-04-12T00:00:00	www.immunize.ca	unknown	Diseases & Vaccines | immunizecanada
immunize-ca_20160924T210421	http://www.immunize.ca/en/diseases-vaccines/varicella.aspx	http://web.archive.org/web/20160924210421/http://immunize.ca:80/en/diseases-vaccines/varicella.aspx	2016-09-24T21:04:21	2017-04-12T00:00:00	www.immunize.ca	unknown	Diseases & Vaccines | immunizecanada
immunize-ca_20170306T102740	http://www.immunize.ca/en/diseases-vaccines/measles.aspx	http://web.archive.org/web/20170306102740/http://www.immunize.ca/en/diseases-vaccines/measles.aspx	2017-03-06T10:27:40	2017-04-12T00:00:00	www.immunize.ca	unknown	Diseases & Vaccines | immunizecanada
